Group_Name,Reason
KickFlip,NO_MEMBER_DATA
Kiiras,NO_MEMBER_DATA
Kim Ji-yeon,NO_MEMBER_DATA
LNGSHOT,NO_MEMBER_DATA
LOCO,NO_MEMBER_DATA
LUN8,NO_MEMBER_DATA
Lee Chaeyeon,NO_MEMBER_DATA
Lim Kim,NO_MEMBER_DATA
Lim Youngmin,NO_MEMBER_DATA
M.O.N.T,NO_MEMBER_DATA
MAVE:,NO_MEMBER_DATA
MIMIIROSE,NO_MEMBER_DATA
MIXX,NO_MEMBER_DATA
MY.st,NO_MEMBER_DATA
Maywish,NO_MEMBER_DATA
Megamax,NO_MEMBER_DATA
Mijoo,NO_MEMBER_DATA
NCUS,NO_MEMBER_DATA
NEWBEAT,NO_MEMBER_DATA
NEXZ,NO_MEMBER_DATA
NIKA,NO_MEMBER_DATA
NOWZ,NO_MEMBER_DATA
NeonPunch,NO_MEMBER_DATA
New-L,NO_MEMBER_DATA
ODD YOUTH,NO_MEMBER_DATA
OWIS,NO_MEMBER_DATA
PLAVE,NO_MEMBER_DATA
POW,NO_MEMBER_DATA
PRIMARY,NO_MEMBER_DATA
PRIMROSE,NO_MEMBER_DATA
PRITZ,NO_MEMBER_DATA
QI.X,NO_MEMBER_DATA
Queenz Eye,NO_MEMBER_DATA
RE:WIND,NO_MEMBER_DATA
ROCKY,NO_MEMBER_DATA
Rainbow,NO_MEMBER_DATA
Rocking Doll,NO_MEMBER_DATA
Rothy,NO_MEMBER_DATA
Royal Pirates,NO_MEMBER_DATA
S,NO_MEMBER_DATA
SEVENUS,NO_MEMBER_DATA
SHA SHA,NO_MEMBER_DATA
She'z,NO_MEMBER_DATA
Soojin,NO_MEMBER_DATA
StelLive,NO_MEMBER_DATA
Sunmi,NO_MEMBER_DATA
TASTY,NO_MEMBER_DATA
TIOT,NO_MEMBER_DATA
TRENDZ,NO_MEMBER_DATA
TUNEXX,NO_MEMBER_DATA
Taeyeon,NO_MEMBER_DATA
The KingDom,NO_MEMBER_DATA
The Legend,NO_MEMBER_DATA
The Poles,NO_MEMBER_DATA
The Wind,NO_MEMBER_DATA
Trade L,NO_MEMBER_DATA
UNICODE,NO_MEMBER_DATA
UNVS,NO_MEMBER_DATA
VAV,NO_MEMBER_DATA
Varsity,NO_MEMBER_DATA
ViV,NO_MEMBER_DATA
WAKER,NO_MEMBER_DATA
WATERFIRE,NO_MEMBER_DATA
WHIB,NO_MEMBER_DATA
WOODZ,NO_MEMBER_DATA
We Girls,NO_MEMBER_DATA
X-5,NO_MEMBER_DATA
XODIAC,NO_MEMBER_DATA
XUM,NO_MEMBER_DATA
YUHZ,NO_MEMBER_DATA
Yena,NO_MEMBER_DATA
Yerin,NO_MEMBER_DATA
Yoon Min,NO_MEMBER_DATA
idntt,NO_MEMBER_DATA
ifeye,NO_MEMBER_DATA
iii,NO_MEMBER_DATA
wave to earth,NO_MEMBER_DATA
xikers,NO_MEMBER_DATA
