Group_Name,Group_QID,Member_Name_EN,Member_Name_KO,Member_QID,Kind,Source
A-JAX,Q492271,Lee Seung-yeop,승엽,Q9205048,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Maeng Yun-young,맹윤영,Q9126881,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Moon Ji-hoo,문지후,Q9144894,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Park Sung-min,성민,Q9194275,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Seo Jae-hyung,서재형,Q9188714,GROUP,Wikidata_P463_P527
A.C.E,Q30236860,Kang Yu-chan,강유찬,Q113357150,GROUP,Wikidata_P463_P527
A.C.E,Q30236860,Kim Byeong-kwan,김병관,Q134315860,GROUP,Wikidata_P463_P527
A.C.E,Q30236860,Lee Ji-ham,이지함,Q134315862,GROUP,Wikidata_P463_P527
A.C.E,Q30236860,Park Jun-hee,박준희,Q131465180,GROUP,Wikidata_P463_P527
A.C.E,Q30236860,Wow,와우,Q134315861,GROUP,Wikidata_P463_P527
A.De,Q22773985,Ahn Cho-yoon,초윤,Q77266855,GROUP,Wikidata_P463_P527
A.De,Q22773985,Mi-so,미소,Q60703983,GROUP,Wikidata_P463_P527
A.De,Q22773985,Park Hae-young,해영,Q79404589,GROUP,Wikidata_P463_P527
A.De,Q22773985,Rachel,라헬,Q79404600,GROUP,Wikidata_P463_P527
A.De,Q22773985,Suyeon,수연,Q60703937,GROUP,Wikidata_P463_P527
A.De,Q22773985,Yeorin,여린,Q79404602,GROUP,Wikidata_P463_P527
A.De,Q22773985,Yoo Ji-seo,지서,Q79404603,GROUP,Wikidata_P463_P527
AB6IX,Q63852480,Jeon Woong,전웅,Q64684322,GROUP,Wikidata_P463_P527
AB6IX,Q63852480,Kim Dong-hyun,김동현,Q34438189,GROUP,Wikidata_P463_P527
AB6IX,Q63852480,Lee Dae-hwi,이대휘,Q30311778,GROUP,Wikidata_P463_P527
AB6IX,Q63852480,Park Woojin,박우진,Q30311706,GROUP,Wikidata_P463_P527
AHOF,Q135181578,Cha Woong Ki,웅기,Q12618529,GROUP,Wikidata_P463_P527
AHOF,Q135181578,Chien Chih En,,Q132076840,GROUP,Wikidata_P463_P527
AHOF,Q135181578,JL,,Q131920148,GROUP,Wikidata_P463_P527
AHOF,Q135181578,Zhang Shuaibo,장슈아이보,Q126684219,GROUP,Wikidata_P463_P527
AKMU,Q10728972,Lee Chan-hyuk,이찬혁,Q16071030,GROUP,Wikidata_P463_P527
AKMU,Q10728972,Lee Su-hyun,이수현,Q18697707,GROUP,Wikidata_P463_P527
ALLDAY PROJECT,Q134986635,Annie Moon,애니,Q137292194,GROUP,Wikidata_P463_P527
ALLDAY PROJECT,Q134986635,Bailey Sok,베일리,Q123912453,GROUP,Wikidata_P463_P527
ALLDAY PROJECT,Q134986635,Jo Woo-chan,조우찬,Q47088961,GROUP,Wikidata_P463_P527
ALLDAY PROJECT,Q134986635,Tarzzan,타잔,Q135580628,GROUP,Wikidata_P463_P527
ALLDAY PROJECT,Q134986635,Youngseo,영서,Q135644965,GROUP,Wikidata_P463_P527
ALPHA DRIVE ONE,Q136378026,Kim Jun Seo,김준서,Q104723606,GROUP,Wikidata_P463_P527
ALPHA DRIVE ONE,Q136378026,Leo,리오 리,Q126282778,GROUP,Wikidata_P463_P527
