Group_Name,Group_QID,Member_Name_EN,Member_Name_KO,Member_QID,Kind,Source
Berry Good,Q18381082,Kim Na-yeon,김나연,Q131936846,GROUP,Wikidata_P463_P527
Berry Good,Q18381082,Kim Tae-rin,다예,Q63967134,GROUP,Wikidata_P463_P527
Berry Good,Q18381082,Seoyul,서율,Q63943139,GROUP,Wikidata_P463_P527
Berry Good,Q18381082,Taeha,태하,Q63922275,GROUP,Wikidata_P463_P527
Big Mama,Q482875,Lee Young Hyun,이영현,Q16091016,GROUP,Wikidata_P463_P527
Big Mama,Q482875,Park Min Hye,박민혜,Q112021225,GROUP,Wikidata_P463_P527
Billlie,Q108888399,Haram,하람,Q117805493,GROUP,Wikidata_P463_P527
Billlie,Q108888399,Haruna,하루나,Q117805516,GROUP,Wikidata_P463_P527
Billlie,Q108888399,Kim Suhyeon,김수현,Q59594164,GROUP,Wikidata_P463_P527
Billlie,Q108888399,Moon Sua,문수아,Q22773742,GROUP,Wikidata_P463_P527
Billlie,Q108888399,Sheon,션,Q117747301,GROUP,Wikidata_P463_P527
Billlie,Q108888399,Siyoon,시윤,Q117805511,GROUP,Wikidata_P463_P527
Billlie,Q108888399,Tsuki,츠키,Q111113517,GROUP,Wikidata_P463_P527
Blady,Q19839916,CoCo,코코,Q61540408,GROUP,Wikidata_P463_P527
Blady,Q19839916,Gabin,김송이,Q17189438,GROUP,Wikidata_P463_P527
Blady,Q19839916,Hwang Ye-eun,예은,Q19940503,GROUP,Wikidata_P463_P527
Blady,Q19839916,Tina,티나,Q19941367,GROUP,Wikidata_P463_P527
Block B,Q498326,B-Bomb,비범,Q10846505,GROUP,Wikidata_P463_P527
Block B,Q498326,Jaehyo,재효,Q16172073,GROUP,Wikidata_P463_P527
Block B,Q498326,Lee Tae-il,태일,Q31179676,GROUP,Wikidata_P463_P527
Block B,Q498326,P.O,피오,Q10852064,GROUP,Wikidata_P463_P527
Block B,Q498326,Park Kyung,박경,Q22279572,GROUP,Wikidata_P463_P527
Block B,Q498326,U-Kwon,유권,Q27951485,GROUP,Wikidata_P463_P527
Block B,Q498326,Zico,지코,Q7696122,GROUP,Wikidata_P463_P527
BoA,Q232449,BoA,보아,Q232449,SOLO,Wikidata_Entity
Bolbbalgan4,Q26960605,Ahn Ji-young,안지영,Q31178173,GROUP,Wikidata_P463_P527
Bolbbalgan4,Q26960605,Woo Ji-yoon,우지윤,Q42705901,GROUP,Wikidata_P463_P527
Boy Story,Q57653434,Xinlong,,Q137667477,GROUP,Wikidata_P463_P527
Boy Story,Q57653434,Zihao,,Q137667736,GROUP,Wikidata_P463_P527
Brown Eyed Girls,Q483253,Gain,가인,Q485672,GROUP,Wikidata_P463_P527
Brown Eyed Girls,Q483253,JeA,제아,Q626325,GROUP,Wikidata_P463_P527
Brown Eyed Girls,Q483253,Miryo,미료,Q7265542,GROUP,Wikidata_P463_P527
Brown Eyed Girls,Q483253,Narsha,나르샤,Q491278,GROUP,Wikidata_P463_P527
Busters,Q48258503,지수,지수,Q79404596,GROUP,Wikidata_P463_P527
Busters,Q48258503,Jeong Ji-soo,정지수,Q107109690,GROUP,Wikidata_P463_P527
Busters,Q48258503,Kang Ye-seo,강예서,Q12582984,GROUP,Wikidata_P463_P527
Busters,Q48258503,Kim Chae-yeon,김채연,Q69696796,GROUP,Wikidata_P463_P527
Busters,Q48258503,Kim Min-ji,김민지,Q69697295,GROUP,Wikidata_P463_P527
Busters,Q48258503,Myung Hyung-seo,명형서,Q110970032,GROUP,Wikidata_P463_P527
C-Clown,Q491944,DPR Ian,DPR 이안,Q57911410,GROUP,Wikidata_P463_P527
C-Clown,Q491944,Kang Jun,강준,Q105704807,GROUP,Wikidata_P463_P527
C-Clown,Q491944,Maru,마루,Q57599540,GROUP,Wikidata_P463_P527
C-Clown,Q491944,Ray,레이,Q57599411,GROUP,Wikidata_P463_P527
C-Clown,Q491944,Siwoo,시우,Q57600321,GROUP,Wikidata_P463_P527
C-Clown,Q491944,T.K,T.K,Q57598831,GROUP,Wikidata_P463_P527
CHI CHI,Q5011177,지유,지유,Q59594726,GROUP,Wikidata_P463_P527
CHI CHI,Q5011177,Lee Si-a,이시아,Q16079908,GROUP,Wikidata_P463_P527
CHI CHI,Q5011177,Yoon Hye-won,나라,Q59788076,GROUP,Wikidata_P463_P527
CIX,Q63790991,BX,BX,Q119433221,GROUP,Wikidata_P463_P527
CIX,Q63790991,Bae Jin-young,배진영,Q30313912,GROUP,Wikidata_P463_P527
CIX,Q63790991,Kim Seung-hun,김승훈,Q63791275,GROUP,Wikidata_P463_P527
CIX,Q63790991,Lee Byounggon,이병곤,Q63791115,GROUP,Wikidata_P463_P527
CLASSy,Q111103138,Kim Riwon,김리원,Q113544042,GROUP,Wikidata_P463_P527
CLASSy,Q111103138,Kim Seon-you,김선유,Q115528243,GROUP,Wikidata_P463_P527
CLASSy,Q111103138,Myung Hyung-seo,명형서,Q110970032,GROUP,Wikidata_P463_P527
CLC,Q19626731,Choi Yu-jin,최유진,Q28698283,GROUP,Wikidata_P463_P527
CLC,Q19626731,Chonnasorn Sajakul,SORN,Q25091773,GROUP,Wikidata_P463_P527
CLC,Q19626731,Elkie,엘키,Q8261971,GROUP,Wikidata_P463_P527
CLC,Q19626731,Jang Ye-eun,장예은,Q38571183,GROUP,Wikidata_P463_P527
CLC,Q19626731,Kwon Eun-bin,권은빈,Q38572171,GROUP,Wikidata_P463_P527
CLC,Q19626731,Oh Seung-hee,오승희,Q25842416,GROUP,Wikidata_P463_P527
CLC,Q19626731,Seungyeon,장승연,Q48852365,GROUP,Wikidata_P463_P527
CLOSE YOUR EYES,Q131689681,Jang Yeo-jun,장여준,Q135011778,GROUP,Wikidata_P463_P527
CLOSE YOUR EYES,Q131689681,Jeon Min-wook,제이민,Q107109704,GROUP,Wikidata_P463_P527
CLOSE YOUR EYES,Q131689681,Kenshin,,Q139576567,GROUP,Wikidata_P463_P527
CLOSE YOUR EYES,Q131689681,Kim Sung-min,,Q139576541,GROUP,Wikidata_P463_P527
CLOSE YOUR EYES,Q131689681,Ma Jingxiang,,Q139576551,GROUP,Wikidata_P463_P527
CLOSE YOUR EYES,Q131689681,Seo Kyoung-bae,,Q139576572,GROUP,Wikidata_P463_P527
CLOSE YOUR EYES,Q131689681,Song Seung-ho,,Q139576560,GROUP,Wikidata_P463_P527
CNBLUE,Q483172,Jung Yong-hwa,정용화,Q153725,GROUP,Wikidata_P463_P527
CNBLUE,Q483172,Kang Min-hyuk,강민혁,Q485966,GROUP,Wikidata_P463_P527
CNBLUE,Q483172,Kwon Kwang Jin,권광진,Q18229754,GROUP,Wikidata_P463_P527
CNBLUE,Q483172,Lee Jong-hyun,이종현,Q488057,GROUP,Wikidata_P463_P527
CNBLUE,Q483172,Lee Jung-shin,이정신,Q491902,GROUP,Wikidata_P463_P527
CORTIS,Q135668928,Chao James,제임스,Q135963716,GROUP,Wikidata_P463_P527
CORTIS,Q135668928,Juhoon,김주훈,Q135963733,GROUP,Wikidata_P463_P527
CORTIS,Q135668928,Keonho,안건호,Q135963581,GROUP,Wikidata_P463_P527
CORTIS,Q135668928,Martin,마틴,Q135963739,GROUP,Wikidata_P463_P527
CORTIS,Q135668928,Seonghyeon,엄성현,Q135963751,GROUP,Wikidata_P463_P527
CRAVITY,Q90628571,Allen,마시권,Q123582474,GROUP,Wikidata_P463_P527
CRAVITY,Q90628571,Ham Won-jin,함원진,Q97301241,GROUP,Wikidata_P463_P527
CRAVITY,Q90628571,Kang Min-hee,강민희,Q66377043,GROUP,Wikidata_P463_P527
CRAVITY,Q90628571,Kim Tae-young,김태영,Q97320161,GROUP,Wikidata_P463_P527
CRAVITY,Q90628571,Koo Jung-mo,구정모,Q97301190,GROUP,Wikidata_P463_P527
CRAVITY,Q90628571,Seo Woo-bin,서우빈,Q97300555,GROUP,Wikidata_P463_P527
CRAVITY,Q90628571,Seongmin,안성민,Q97319761,GROUP,Wikidata_P463_P527
CRAVITY,Q90628571,Serim,세림,Q105463572,GROUP,Wikidata_P463_P527
CRAVITY,Q90628571,Song Hyeong-jun,송형준,Q65058867,GROUP,Wikidata_P463_P527
CSR,Q113240443,Duna,두나,Q117830696,GROUP,Wikidata_P463_P527
CSR,Q113240443,Geumhee,금희,Q117830692,GROUP,Wikidata_P463_P527
CSR,Q113240443,Seoyeon,서연,Q117830694,GROUP,Wikidata_P463_P527
CSR,Q113240443,Sihyeon,시현,Q117830693,GROUP,Wikidata_P463_P527
CSR,Q113240443,Sua,수아,Q117830691,GROUP,Wikidata_P463_P527
CSR,Q113240443,Yeham,예함,Q117830697,GROUP,Wikidata_P463_P527
CSR,Q113240443,Yuna,유나,Q117830695,GROUP,Wikidata_P463_P527
Chakra,Q623822,임선홍,임선홍,Q16091347,GROUP,Wikidata_P463_P527
Chakra,Q623822,Bona,보나,Q119432806,GROUP,Wikidata_P463_P527
Chakra,Q623822,Hwangbo,황보,Q490101,GROUP,Wikidata_P463_P527
Chakra,Q623822,Jung Ryeo-won,정려원,Q487861,GROUP,Wikidata_P463_P527
Chakra,Q623822,Lee Eun,이은,Q12612328,GROUP,Wikidata_P463_P527
Cherry Bullet,Q59325270,Choi Yu-ju,유주,Q60566799,GROUP,Wikidata_P463_P527
Cherry Bullet,Q59325270,ELLA,미래,Q60873617,GROUP,Wikidata_P463_P527
Cherry Bullet,Q59325270,Huang Ziting,황지팅,Q60873005,GROUP,Wikidata_P463_P527
Cherry Bullet,Q59325270,Huh Jiwon,허지원,Q60566856,GROUP,Wikidata_P463_P527
Cherry Bullet,Q59325270,Katsuno Rise,카츠노 리세,Q60874232,GROUP,Wikidata_P463_P527
Cherry Bullet,Q59325270,Kim Bo-ra,보라,Q60873744,GROUP,Wikidata_P463_P527
Cherry Bullet,Q59325270,Kokoro Kato,카토 코코로,Q60874071,GROUP,Wikidata_P463_P527
Cherry Bullet,Q59325270,Mao Hirokawa,히로카와 마오,Q60874713,GROUP,Wikidata_P463_P527
Cherry Bullet,Q59325270,Park Chae-rin,박채린,Q60874396,GROUP,Wikidata_P463_P527
Cherry Bullet,Q59325270,Park Hae-yoon,박해윤,Q60566726,GROUP,Wikidata_P463_P527
ChoColat,Q492251,Tia,티아,Q12621404,GROUP,Wikidata_P463_P527
Choi Yoojung,Q26710983,Choi Yoo-jung,최유정,Q26710983,SOLO,Wikidata_Entity
Chung Ha,Q26214034,Chungha,김청하,Q26214034,SOLO,Wikidata_Entity
Chuu,Q56816551,Chuu,츄,Q56816551,SOLO,Wikidata_Entity
Ciipher,Q105622929,원,원,Q112021626,GROUP,Wikidata_P463_P527
Ciipher,Q105622929,현빈,현빈,Q119431821,GROUP,Wikidata_P463_P527
Co-ed School,Q483806,Heo Chan-mi,허찬미,Q19603724,GROUP,Wikidata_P463_P527
Co-ed School,Q483806,Kang Ji Wook,강지욱,Q140185451,GROUP,Wikidata_P463_P527
Co-ed School,Q483806,Lee Soo-mi,이서안,Q493676,GROUP,Wikidata_P463_P527
Co-ed School,Q483806,Ryu Hyo-young,류효영,Q486594,GROUP,Wikidata_P463_P527
CocoSori,Q27019538,CoCo,코코,Q61540408,GROUP,Wikidata_P463_P527
CocoSori,Q27019538,SoRi,소리,Q61612053,GROUP,Wikidata_P463_P527
Crayon Pop,Q60157,ChoA,초아,Q17159005,GROUP,Wikidata_P463_P527
Crayon Pop,Q60157,Ellin,엘린,Q16767663,GROUP,Wikidata_P463_P527
Crayon Pop,Q60157,Gum-mi,금미,Q16865126,GROUP,Wikidata_P463_P527
Crayon Pop,Q60157,So Yul,소율,Q16865202,GROUP,Wikidata_P463_P527
Crayon Pop,Q60157,Way,웨이,Q16767739,GROUP,Wikidata_P463_P527
Cross Gene,Q307621,Casper True,캐스퍼,Q24836815,GROUP,Wikidata_P463_P527
Cross Gene,Q307621,Kim Sang-min,상민,Q107109294,GROUP,Wikidata_P463_P527
Cross Gene,Q307621,Kim Yong-seok,원찬,Q107109452,GROUP,Wikidata_P463_P527
Cross Gene,Q307621,Lee Se-young,세영,Q107109316,GROUP,Wikidata_P463_P527
Cross Gene,Q307621,Shin Won-ho,신,Q7497232,GROUP,Wikidata_P463_P527
Cross Gene,Q307621,Takuya Terada,타쿠야,Q11457992,GROUP,Wikidata_P463_P527
Crush,Q16187868,DJ Ravi Drums,,Q5205418,GROUP,Wikidata_P463_P527
Crush,Q16187868,David Van Landing,,Q11964849,GROUP,Wikidata_P463_P527
Crush,Q16187868,Jeff Lords,,Q11978320,GROUP,Wikidata_P463_P527
Crush,Q16187868,Jon Drenning,,Q17711702,GROUP,Wikidata_P463_P527
Cutie Street,Q130260884,Aika Sano,,Q130260939,GROUP,Wikidata_P463_P527
Cutie Street,Q130260884,Ayano Masuda,마스다 아야노,Q122354454,GROUP,Wikidata_P463_P527
Cutie Street,Q130260884,Emiru Kawamoto,,Q130261037,GROUP,Wikidata_P463_P527
Cutie Street,Q130260884,Haruka Sakuraba,사쿠라바 하루카,Q130261229,GROUP,Wikidata_P463_P527
Cutie Street,Q130260884,Kana Itakura,,Q130260977,GROUP,Wikidata_P463_P527
Cutie Street,Q130260884,Miyu Umeda,,Q130261103,GROUP,Wikidata_P463_P527
Cutie Street,Q130260884,Nagisa Manabe,,Q130261163,GROUP,Wikidata_P463_P527
Cutie Street,Q130260884,Risa Furusawa,,Q130260901,GROUP,Wikidata_P463_P527
D-CRUNCH,Q56520850,Baek Hyun-woo,백현우,Q121605119,GROUP,Wikidata_P463_P527
D-CRUNCH,Q56520850,Dylan,딜런,Q121605122,GROUP,Wikidata_P463_P527
D-CRUNCH,Q56520850,Ji Hyun-wook,지현욱,Q121605125,GROUP,Wikidata_P463_P527
D-CRUNCH,Q56520850,Kim Chan-young,김찬영,Q121605160,GROUP,Wikidata_P463_P527
D-CRUNCH,Q56520850,Kim Min-hyuk,김민혁,Q121605165,GROUP,Wikidata_P463_P527
D-CRUNCH,Q56520850,Lee Hyun-ho,이현호,Q121605178,GROUP,Wikidata_P463_P527
D-CRUNCH,Q56520850,O.V,오뷔,Q121605199,GROUP,Wikidata_P463_P527
D-CRUNCH,Q56520850,Park Hyun-oh,박현오,Q121605189,GROUP,Wikidata_P463_P527
D-CRUNCH,Q56520850,Park Jung-seung,박정승,Q121605215,GROUP,Wikidata_P463_P527
D1CE,Q63137883,Woo Jin-young,우진영,Q55732454,GROUP,Wikidata_P463_P527
DAILY:DIRECTION,Q137883875,E-VAN,,Q137883959,GROUP,Wikidata_P463_P527
DAILY:DIRECTION,Q137883875,Kim Joo Hyoung,,Q137883937,GROUP,Wikidata_P463_P527
DAY6,Q20898046,Im Jun Hyeok,임준혁,Q28410741,GROUP,Wikidata_P463_P527
DAY6,Q20898046,Jae Park,Jae,Q26220991,GROUP,Wikidata_P463_P527
DAY6,Q20898046,Kang Young-hyun,강영현,Q22101239,GROUP,Wikidata_P463_P527
DAY6,Q20898046,Kim Won-pil,원필,Q67674869,GROUP,Wikidata_P463_P527
DAY6,Q20898046,Park Sung-jin,성진,Q65762547,GROUP,Wikidata_P463_P527
DAY6,Q20898046,Yoon Do-woon,도운,Q67674200,GROUP,Wikidata_P463_P527
DIA,Q20733515,Ahn Eun-jin,안은진,Q28408492,GROUP,Wikidata_P463_P527
DIA,Q20733515,Ahn Som-yi,안솜이,Q30921037,GROUP,Wikidata_P463_P527
DIA,Q20733515,Heo Soo-yeon,허수연,Q28969139,GROUP,Wikidata_P463_P527
DIA,Q20733515,Huihyeon,기희현,Q26919611,GROUP,Wikidata_P463_P527
DIA,Q20733515,Jo Seung-hee,조승희,Q16084047,GROUP,Wikidata_P463_P527
DIA,Q20733515,Jung Chae-yeon,정채연,Q24959134,GROUP,Wikidata_P463_P527
DIA,Q20733515,Kwon Chae-won,권채원,Q30921468,GROUP,Wikidata_P463_P527
DIA,Q20733515,Lee Ju-eun,주은,Q65330332,GROUP,Wikidata_P463_P527
DIA,Q20733515,Lee So-yul,이소율,Q30923727,GROUP,Wikidata_P463_P527
DIA,Q20733515,Yebin,백예빈,Q30243794,GROUP,Wikidata_P463_P527
DKB,Q85825168,E-CHAN,E-CHAN,Q112023536,GROUP,Wikidata_P463_P527
DKZ,Q65051964,Jang Munik,장문익,Q97208555,GROUP,Wikidata_P463_P527
DKZ,Q65051964,Jeon Min-gyu,전민규,Q111693475,GROUP,Wikidata_P463_P527
DKZ,Q65051964,Jonghyeong,종형,Q116705085,GROUP,Wikidata_P463_P527
DKZ,Q65051964,Kim Jong-hyeong,김종형,Q111693306,GROUP,Wikidata_P463_P527
DKZ,Q65051964,Kim Se-hyeon,김세현,Q111693473,GROUP,Wikidata_P463_P527
DKZ,Q65051964,Lee Kyoung-yoon,이경윤,Q111693305,GROUP,Wikidata_P463_P527
DKZ,Q65051964,Park Jae-chan,박재찬,Q111693208,GROUP,Wikidata_P463_P527
DKZ,Q65051964,Ryu Gi-seok,류기석,Q111693458,GROUP,Wikidata_P463_P527
DKZ,Q65051964,Seol Won-dae,설원대,Q112257711,GROUP,Wikidata_P463_P527
DMTN,Q486946,Daniel Choi,최다니엘,Q134349109,GROUP,Wikidata_P463_P527
DMTN,Q486946,DayDay,데이 데이,Q17157691,GROUP,Wikidata_P463_P527
DMTN,Q486946,Inati,이나티,Q16175868,GROUP,Wikidata_P463_P527
DRIPPIN,Q101529768,Cha Jun-ho,차준호,Q65059171,GROUP,Wikidata_P463_P527
DRIPPIN,Q101529768,Hwang Yun-seong,황윤성,Q134569847,GROUP,Wikidata_P463_P527
DRIPPIN,Q101529768,Joo Chang-uk,주창욱,Q134569848,GROUP,Wikidata_P463_P527
DRIPPIN,Q101529768,Kim Dong-yun,김동윤,Q134569849,GROUP,Wikidata_P463_P527
DRIPPIN,Q101529768,Kim Min-seo,김민서,Q134569850,GROUP,Wikidata_P463_P527
DRIPPIN,Q101529768,Lee Hyeop,이협,Q134569846,GROUP,Wikidata_P463_P527
DXTEEN,Q116770778,Kōshin Terao,,Q124097470,GROUP,Wikidata_P463_P527
Dal★Shabet,Q492146,Ah Young,아영,Q15223756,GROUP,Wikidata_P463_P527
Dal★Shabet,Q492146,Jiyul,지율,Q16092017,GROUP,Wikidata_P463_P527
Dal★Shabet,Q492146,Jo Ka-eun,가은,Q20779702,GROUP,Wikidata_P463_P527
Dal★Shabet,Q492146,Serri,세리,Q16090220,GROUP,Wikidata_P463_P527
Dal★Shabet,Q492146,Subin,수빈,Q17403471,GROUP,Wikidata_P463_P527
Dal★Shabet,Q492146,Vicky,비키,Q16083143,GROUP,Wikidata_P463_P527
Dal★Shabet,Q492146,Woohee,우희,Q16090396,GROUP,Wikidata_P463_P527
Davichi,Q483209,Kang Min-kyeong,강민경,Q6823994,GROUP,Wikidata_P463_P527
Davichi,Q483209,Lee Hae-ri,이해리,Q6781164,GROUP,Wikidata_P463_P527
DearAlice,Q132200349,Blaise Noon,,Q136306912,GROUP,Wikidata_P463_P527
DearAlice,Q132200349,Dexter Greenwood,덱스터 그린우드,Q136306874,GROUP,Wikidata_P463_P527
DearAlice,Q132200349,James Sharp,,Q136306825,GROUP,Wikidata_P463_P527
DearAlice,Q132200349,"Oliver ""Olly"" Quinn",,Q136306887,GROUP,Wikidata_P463_P527
DearAlice,Q132200349,Reese Carter,리스 카터,Q136306906,GROUP,Wikidata_P463_P527
DreamNote,Q60175858,Ahn Han-byeol,안한별,Q63791524,GROUP,Wikidata_P463_P527
DreamNote,Q60175858,Choi Eui-jeong,최의정,Q63791511,GROUP,Wikidata_P463_P527
DreamNote,Q60175858,Jeon Ji-min,전지민,Q63791516,GROUP,Wikidata_P463_P527
DreamNote,Q60175858,Kim Ji-hyeon,김지현,Q63791513,GROUP,Wikidata_P463_P527
DreamNote,Q60175858,Moon Sin-ae,문신애,Q63791514,GROUP,Wikidata_P463_P527
DreamNote,Q60175858,Park Eun-jo,박은조,Q63791520,GROUP,Wikidata_P463_P527
DreamNote,Q60175858,Park Su-min,박수민,Q63791518,GROUP,Wikidata_P463_P527
DreamNote,Q60175858,Yoo Ha-bin,유하빈,Q63791522,GROUP,Wikidata_P463_P527
Dreamcatcher,Q20684822,Dami,다미,Q59313527,GROUP,Wikidata_P463_P527
Dreamcatcher,Q20684822,Gahyun,가현,Q59313606,GROUP,Wikidata_P463_P527
Dreamcatcher,Q20684822,Handong,한동,Q59313384,GROUP,Wikidata_P463_P527
Dreamcatcher,Q20684822,JiU,지유,Q59313184,GROUP,Wikidata_P463_P527
Dreamcatcher,Q20684822,Siyeon,시연,Q59313326,GROUP,Wikidata_P463_P527
Dreamcatcher,Q20684822,SuA,수아,Q59313270,GROUP,Wikidata_P463_P527
Dreamcatcher,Q20684822,Yoohyeon,유현,Q59313479,GROUP,Wikidata_P463_P527
Dynamic Duo,Q5318904,Choiza,최자,Q12619805,GROUP,Wikidata_P463_P527
Dynamic Duo,Q5318904,Gaeko,개코,Q12583269,GROUP,Wikidata_P463_P527
EL7Z UP,Q121501677,Hwiseo,휘서,Q123157276,GROUP,Wikidata_P463_P527
EL7Z UP,Q121501677,Jang Ye-eun,장예은,Q38571183,GROUP,Wikidata_P463_P527
EL7Z UP,Q121501677,Kei,Kei,Q12588803,GROUP,Wikidata_P463_P527
EL7Z UP,Q121501677,Kim Yeon-hee,연희,Q65920400,GROUP,Wikidata_P463_P527
EL7Z UP,Q121501677,Nana,나나,Q111264395,GROUP,Wikidata_P463_P527
EL7Z UP,Q121501677,Yeoreum,여름,Q28524707,GROUP,Wikidata_P463_P527
EL7Z UP,Q121501677,Yuki,유키,Q107559923,GROUP,Wikidata_P463_P527
ENHYPEN,Q99479445,Heeseung,에반,Q105717901,GROUP,Wikidata_P463_P527
ENHYPEN,Q99479445,Jake Sim,제이크,Q105718037,GROUP,Wikidata_P463_P527
ENHYPEN,Q99479445,Jay,제이,Q105717862,GROUP,Wikidata_P463_P527
ENHYPEN,Q99479445,Ni-Ki,니키,Q108043218,GROUP,Wikidata_P463_P527
ENHYPEN,Q99479445,Park Sung-hoon,박성훈,Q17198771,GROUP,Wikidata_P463_P527
ENHYPEN,Q99479445,Sunoo,선우,Q105718407,GROUP,Wikidata_P463_P527
ENHYPEN,Q99479445,Yang Jung-won,정원,Q105717977,GROUP,Wikidata_P463_P527
EPEX,Q107387899,에이든,에이든,Q124039310,GROUP,Wikidata_P463_P527
EPEX,Q107387899,Keum Dong Hyun,금동현,Q85882698,GROUP,Wikidata_P463_P527
EPEX,Q107387899,Wish,위시,Q112023395,GROUP,Wikidata_P463_P527
EVERGLOW,Q62067345,E:U,이유,Q62920133,GROUP,Wikidata_P463_P527
EVERGLOW,Q62067345,Han Eun-ji,한은지,Q62920418,GROUP,Wikidata_P463_P527
EVERGLOW,Q62067345,Heo Yoo-rim,허유림,Q62920953,GROUP,Wikidata_P463_P527
EVERGLOW,Q62067345,Jo Se-rim,조세림,Q62920711,GROUP,Wikidata_P463_P527
EVERGLOW,Q62067345,Sihyeon,김시현,Q62919296,GROUP,Wikidata_P463_P527
EVERGLOW,Q62067345,Wang Yiren,왕이런,Q62613278,GROUP,Wikidata_P463_P527
EVNNE,Q121493651,Yoo Seung-eon,유승언,Q139959901,GROUP,Wikidata_P463_P527
EXID,Q492381,Hani,안희연,Q16767951,GROUP,Wikidata_P463_P527
EXID,Q492381,Heo Sol-ji,솔지,Q16767600,GROUP,Wikidata_P463_P527
EXID,Q492381,Kang Hye-yeon,혜연,Q16766832,GROUP,Wikidata_P463_P527
EXID,Q492381,LE,LE,Q16766702,GROUP,Wikidata_P463_P527
EXID,Q492381,Na Hae-ryung,나해령,Q16767981,GROUP,Wikidata_P463_P527
EXID,Q492381,Park Jeong-hwa,박정화,Q20819890,GROUP,Wikidata_P463_P527
EXID,Q492381,Seo Hye-lin,혜린,Q16767990,GROUP,Wikidata_P463_P527
EXID,Q492381,U Ji,유지,Q24855952,GROUP,Wikidata_P463_P527
EXO,Q494717,카이,카이,Q10775090,GROUP,Wikidata_P463_P527
EXO,Q494717,Byun Baek-hyun,백현,Q4688701,GROUP,Wikidata_P463_P527
EXO,Q494717,Chen,첸,Q16098027,GROUP,Wikidata_P463_P527
EXO,Q494717,Doh Kyung-soo,도경수,Q15111667,GROUP,Wikidata_P463_P527
EXO,Q494717,Huang Zitao,타오,Q10769072,GROUP,Wikidata_P463_P527
EXO,Q494717,Kris Wu,크리스 우,Q6437313,GROUP,Wikidata_P463_P527
EXO,Q494717,Lay,레이,Q12494180,GROUP,Wikidata_P463_P527
EXO,Q494717,Lu Han,루한,Q10788758,GROUP,Wikidata_P463_P527
EXO,Q494717,Oh Se-hun,세훈,Q10802388,GROUP,Wikidata_P463_P527
EXO,Q494717,Park Chan-yeol,찬열,Q7137681,GROUP,Wikidata_P463_P527
EXO,Q494717,Suho,수호,Q10822003,GROUP,Wikidata_P463_P527
EXO,Q494717,Xiumin,시우민,Q10834841,GROUP,Wikidata_P463_P527
Eddy Kim,Q101826228,Eddy Kimani,,Q101826228,SOLO,Wikidata_Entity
Epik High,Q18788,DJ Tukutz,DJ 투컷,Q50593,GROUP,Wikidata_P463_P527
Epik High,Q18788,Mithra Jin,미쓰라 진,Q50594,GROUP,Wikidata_P463_P527
Epik High,Q18788,Tablo,타블로,Q18800,GROUP,Wikidata_P463_P527
Eric Nam,Q12606686,Eric Nam,에릭 남,Q12606686,SOLO,Wikidata_Entity
EvoL,Q5418536,SAAY,,Q131370552,GROUP,Wikidata_P463_P527
E’LAST,Q96418352,원혁,원혁,Q117434747,GROUP,Wikidata_P463_P527
F-ve Dolls,Q486683,Han Na-yeon,한나연,Q66817858,GROUP,Wikidata_P463_P527
F-ve Dolls,Q486683,Han Seo-in,한서인,Q16090299,GROUP,Wikidata_P463_P527
F-ve Dolls,Q486683,Heo Chan-mi,허찬미,Q19603724,GROUP,Wikidata_P463_P527
F-ve Dolls,Q486683,Jin Hye-won,진혜원,Q16177889,GROUP,Wikidata_P463_P527
F-ve Dolls,Q486683,Jo Seung-hee,조승희,Q16084047,GROUP,Wikidata_P463_P527
F-ve Dolls,Q486683,Lee Soo-mi,이서안,Q493676,GROUP,Wikidata_P463_P527
F-ve Dolls,Q486683,Ryu Hyo-young,류효영,Q486594,GROUP,Wikidata_P463_P527
F-ve Dolls,Q486683,Seo Eun-kyo,은교,Q16173491,GROUP,Wikidata_P463_P527
F.T. Island,Q483248,Choi Jong-hoon,최종훈,Q490438,GROUP,Wikidata_P463_P527
F.T. Island,Q483248,Choi Min-hwan,최민환,Q5103936,GROUP,Wikidata_P463_P527
F.T. Island,Q483248,Lee Hong-gi,이홍기,Q484834,GROUP,Wikidata_P463_P527
F.T. Island,Q483248,Lee Jae-jin,이재진,Q624401,GROUP,Wikidata_P463_P527
F.T. Island,Q483248,Oh Won-bin,오원빈,Q844600,GROUP,Wikidata_P463_P527
F.T. Island,Q483248,Song Seung-hyun,송승현,Q6546789,GROUP,Wikidata_P463_P527
FANATICS,Q60643800,Chiayi,지아이,Q60992888,GROUP,Wikidata_P463_P527
FANATICS,Q60643800,Doi,도이,Q66441477,GROUP,Wikidata_P463_P527
FANATICS,Q60643800,Jeong Yoon-hye,정윤혜,Q61770150,GROUP,Wikidata_P463_P527
FANATICS,Q60643800,Kim Do-ah,도아,Q61770153,GROUP,Wikidata_P463_P527
FANATICS,Q60643800,Lee Chae-lin,이채린,Q66441287,GROUP,Wikidata_P463_P527
FANATICS,Q60643800,Sika,시카,Q66440951,GROUP,Wikidata_P463_P527
FANTASY BOYS,Q120354264,Kang Min-seo,강민서,Q131547763,GROUP,Wikidata_P463_P527
FANTASY BOYS,Q120354264,Kim Woo-seok,김우석,Q130539632,GROUP,Wikidata_P463_P527
FANTASY BOYS,Q120354264,Urabe Hikaru,히카루,Q119431791,GROUP,Wikidata_P463_P527
